MEDCPIM158SFRBCLE;Median Consumer Price Index, Percent Change at Annual Rate, Monthly, Seasonally Adjusted
Frequency: Monthly;
observation_date;MEDCPIM158SFRBCLE
2019-04-01;2,82946232379089000
2019-05-01;2,55853514567628000
2019-06-01;2,96310499495169000
2019-07-01;3,20088881178511000
2019-08-01;2,62575663098745000
2019-09-01;2,50440284645774000
2019-10-01;2,67072730886815000
2019-11-01;3,27785810135186000
2019-12-01;2,52541708194376000
2020-01-01;3,73900290493838000
2020-02-01;2,87314075414153000
2020-03-01;2,96611597454439000
2020-04-01;2,05141045111050000
2020-05-01;3,04234095952862000
2020-06-01;1,63037994426170000
2020-07-01;4,12644301223046000
2020-08-01;2,56425045725699000
2020-09-01;1,09289511329196000
2020-10-01;1,79186100386308000
2020-11-01;1,36409877769683000
2020-12-01;1,40126243037699000
2021-01-01;1,17126192381685000
2021-02-01;2,79187179404496000
2021-03-01;2,45230811885555000
2021-04-01;2,90626910167791000
2021-05-01;3,25571552598809000
2021-06-01;3,75085967160498000
2021-07-01;3,03001455558991000
2021-08-01;4,05292067237106000
2021-09-01;4,93068961392651000
2021-10-01;6,58162335190871000
2021-11-01;5,92197752452099000
2021-12-01;4,86424346054244000
2022-01-01;6,73598572134309000
2022-02-01;6,37518816583602000
2022-03-01;6,22131864885611000
2022-04-01;6,92388263628694000
2022-05-01;7,58887877102441000
2022-06-01;8,01045995451126000
2022-07-01;5,98832618011915000
2022-08-01;8,04803616793306000
2022-09-01;7,72921604833856000
2022-10-01;6,69366641779918000
2022-11-01;5,91661658760609000
2022-12-01;6,55462261476893000
2023-01-01;7,40659988402694000
2023-02-01;7,88049589496700000
2023-03-01;4,62475076644842000
2023-04-01;5,18616801348069000
2023-05-01;4,83841780786021000
2023-06-01;4,39642524892616000
2023-07-01;2,49077584715136000
2023-08-01;4,35897232415277000
2023-09-01;5,21792092786129000
2023-10-01;3,49795816925966000
2023-11-01;5,12261495364030000
2023-12-01;4,16012515068491000
2024-01-01;6,54247711333595000
2024-02-01;4,55815950379621000
2024-03-01;4,32734565378701000
2024-04-01;4,25132259006098000
2024-05-01;3,01646901493071000
2024-06-01;2,36466518194451000
2024-07-01;3,80499824370928000
2024-08-01;3,18039686786902000
2024-09-01;4,14646127656875000
